hid,family,id,N,mean,se,t,clusters,sd,p_one,p_two
S1::217bdf6897f2,S1,217bdf6897f2,1970,0.018880835193256486,0.025533522221664877,0.7394528271245058,181,1.2365871309759877,0.22981603715647914,0.45963207431295827
S1::c869fc341a2d,S1,c869fc341a2d,2553,0.01549143835444959,0.02368417241208415,0.6540840053395971,181,1.2371167176654385,0.2565288428143242,0.5130576856286484
S1::651922ec5128,S1,651922ec5128,1947,0.039618959951444065,0.03151058782452013,1.2573221474660767,181,1.4183433153141973,0.10431850369249951,0.20863700738499902
S1::4249e674d41d,S1,4249e674d41d,2522,0.024894964106282925,0.02836927478633493,0.8775326226624048,181,1.4086359871516692,0.19009870381138483,0.38019740762276966
S1::2b1f60053c13,S1,2b1f60053c13,2095,-0.017653468568212007,0.01617177388576931,-1.0916222730362652,181,0.7562756048820136,0.8625004189686987,0.27499916206260266
S1::0bf019248fbf,S1,0bf019248fbf,2749,-0.01785366402076462,0.014968141248274112,-1.1927776284729557,181,0.7793925920069076,0.8835217630647033,0.23295647387059337
S1::ea5ef9621aa6,S1,ea5ef9621aa6,2059,0.01898719757399938,0.030147250104453564,0.629815240468465,181,1.3641679152099775,0.26440773656867056,0.5288154731373411
S1::930d5e587191,S1,930d5e587191,2692,0.010367032137613393,0.028544945200158017,0.363182765457052,181,1.3640200340427648,0.3582341805587099,0.7164683611174198
S1::66de0fcdebc1,S1,66de0fcdebc1,3606,0.0019871056554118856,0.021468978508086455,0.0925570657524962,181,1.2936756748386617,0.4631277269169659,0.9262554538339318
S1::22f58b99cf74,S1,22f58b99cf74,4883,-0.0005835027046912095,0.0174494661451112,-0.03343957344246253,181,1.2839923987408521,0.5133379738734682,0.9733240522530635
S1::37d9da653c1f,S1,37d9da653c1f,3521,0.018074573868661365,0.025951608119125377,0.6964722103421819,181,1.5130491843276668,0.24306657738382742,0.48613315476765484
S1::5d777f7e4ffa,S1,5d777f7e4ffa,4749,0.020786105874670956,0.02163596125580443,0.9607202392773062,181,1.4966079047076288,0.1683464259884807,0.3366928519769614
S1::ec618c84b278,S1,ec618c84b278,4113,-0.0564601255191193,0.0064994230451571305,-8.686944229794218,181,0.4409849319479144,1.0,0.0
S1::bdc342c1eab2,S1,bdc342c1eab2,5744,-0.050482644269390024,0.006052334015569758,-8.341020858981404,181,0.4767739003581028,1.0,0.0
S1::c15d251acdca,S1,c15d251acdca,3868,0.04027045166409821,0.026461113956497768,1.5218728784548934,181,1.7078866810286681,0.06402046804859685,0.1280409360971937
S1::8338bf16c0bc,S1,8338bf16c0bc,5284,0.07598577119087738,0.03143868312069071,2.416951463875691,181,2.1873322086069424,0.007825551961847754,0.01565110392369551
S1::89f7cba4beae,S1,89f7cba4beae,3334,0.024001765539556665,0.021179429698441672,1.1332583493181903,181,1.1975212166889373,0.12855288857827674,0.25710577715655347
S1::02ed5e6c7a7d,S1,02ed5e6c7a7d,4381,0.02583786229745983,0.018600923587527844,1.3890634073022292,181,1.1933498227626478,0.08240673488089723,0.16481346976179445
S1::d3824f804c6e,S1,d3824f804c6e,3269,0.0476384678264654,0.024895559590346984,1.9135327186996336,181,1.3660534951596461,0.027839944513967985,0.05567988902793597
S1::873c44cbd96d,S1,873c44cbd96d,4274,0.04774587869223821,0.021542461011562715,2.2163613835304634,181,1.356090109266492,0.013333381088059815,0.02666676217611963
S1::4c871d3458bf,S1,4c871d3458bf,4084,-0.03305834556433596,0.005341669980762837,-6.188766000780705,181,0.3509949151806947,0.999999999696815,6.063700652703119e-10
S1::2fde2397f242,S1,2fde2397f242,5690,-0.030429120547458416,0.004670332095323758,-6.515408310669394,181,0.34488898145505503,0.9999999999637539,7.249223443750452e-11
S1::246b701b25b6,S1,246b701b25b6,3709,0.03399106149832663,0.02155318333619501,1.5770784745863624,181,1.323588163826031,0.05738873472743178,0.11477746945486356
S1::b6bedd18c0da,S1,b6bedd18c0da,5006,0.031195608837692155,0.019737024945701218,1.5805628722421334,181,1.3153434249184435,0.05698901031862569,0.11397802063725138
S1::65c3ba3f05b4,S1,65c3ba3f05b4,1284,-0.009588967834139444,0.03517205226583747,-0.27263031914271274,178,1.2431945680279872,0.6074312984004572,0.7851374031990856
S1::9bb24895f96b,S1,9bb24895f96b,2213,-0.015042377545788502,0.025380408976699808,-0.592676720048049,181,1.244402404753538,0.723301237925636,0.5533975241487279
